voxel_volume_2021,convex_hull_volume_2021,voxel_area_2021,Model_2021,Iteration_2021,point2tree_Volume_2021,point2tree_area_2021,graham_volume_2021,graham_Area_2021,lky_name,TotalBranches_2021,voxel_volume_2023,convex_hull_volume_2023,voxel_area_2023,Model_2023,Iteration_2023,point2tree_Volume_2023,point2tree_area_2023,graham_volume_2023,graham_Area_2023,TotalBranches_2023,convex_hull_area_2023,convex_hull_area_2021
0.313,1.393964557,0.66,tree_539,3400,0.388915466,1.068241679,0.694161312,1.634763947,蓝20_50_行13_3_000418,247,5.16,38.71905964,12.76,tree_570,3400,18.80894629,14.05061167,27.83985208,12.39590103,2159,15.35808857,2.048730195
0.057,0.046042182,0.2,tree_143,3400,0.021740466,0.158509182,0.038166595,0.143757194,蓝20_50_行9_2_000382,100,0.613,2.287176772,1.47,tree_151,3400,1.19339636,1.306119388,1.338744898,1.32687035,299,1.631621377,0.15443447
0.071,0.056941001,0.21,tree_1269,3400,0.031061827,0.160479177,0.045743273,0.139603732,蓝20_50_行6_3_000024,100,0.331,0.854516528,1.01,tree_1335,3400,0.259363896,0.775691652,0.519565148,0.781745452,202,1.00920572,0.149572135
0.065,0.1158634,0.3,tree_835,3400,0.072624009,0.245908761,0.053365236,0.164739289,蓝20_50_行9_2_000377,100,1.338,4.726701285,3.55,tree_881,3400,1.249940894,3.188518081,2.938262549,3.151242404,1015,4.061809984,0.223337805
0.106,0.110403209,0.26,tree_503,3400,0.069290206,0.185871745,0.078256647,0.175384667,蓝20_50_行4_2_000018,100,0.79,3.183864433,2.53,tree_531,3400,1.119698556,2.292017321,1.97740431,2.475784016,448,2.940053126,0.18663714
0.148,0.198816032,0.47,tree_1292,3400,0.08133523,0.364814608,0.159492847,0.272043292,蓝20_50_行12_1_000095,114,2.76,27.18316052,6.75,tree_1359,3400,6.484776339,7.167207441,10.23112285,12.90695491,1026,15.83430562,0.39864776
0.026,0.014027755,0.14,tree_226,3400,0.004695189,0.089717092,0.012235121,0.055643072,蓝20_50_行14_1_000117,100,0.418,1.152335547,0.92,tree_237,3400,0.302018335,0.701943964,0.480995998,0.71580389,222,0.924547098,0.09224704
0.181,0.392173681,0.51,tree_481,3400,0.17794805,0.437088861,0.215572264,0.300199977,蓝20_50_行5_1_000171,129,4.747,20.33560487,8.97,tree_509,3400,8.033058854,8.712765363,12.03754128,8.251995196,2923,9.880278142,0.44509898
0.159,0.317340789,0.6,tree_967,3400,0.141783447,0.528787326,0.182150798,0.24969299,蓝20_50_行15_1_000440,114,1.892,8.934794632,4.1,tree_1021,3400,3.813754193,4.010777946,5.471648211,4.104504304,948,5.016043582,0.519427725
0.077,0.061584946,0.21,tree_1071,3400,0.036530039,0.127975783,0.050011321,0.122937311,蓝20_50_行11_2_000063,103,0.601,2.207759262,1.76,tree_1128,3400,0.678707449,1.494949514,1.12450704,1.551417211,333,1.806760647,0.15137107
0.192,0.367096457,0.46,tree_719,3400,0.284309436,0.397709196,0.271169948,0.365991674,蓝20_50_行8_3_000198,100,1.691,10.46039686,3.5,tree_758,3400,2.485680295,3.3123212,3.796268999,2.893344375,954,6.234164639,0.411053295
0.045,0.021676699,0.22,tree_536,3400,0.008938137,0.11995638,0.018836193,0.124237685,蓝20_50_行13_3_000308,100,0.913,3.779925936,2.43,tree_567,3400,1.280953379,2.195571758,2.275880073,2.387276969,457,2.822382692,0.14306307
0.043,0.046027725,0.17,tree_714,3400,0.019250173,0.119639985,0.014074611,0.115709516,蓝20_50_行4_3_000038,100,1.853,5.307569138,3.92,tree_753,3400,2.708586787,3.715932052,3.993653643,3.038380409,1052,4.104073341,0.125080995
0.178,0.283990892,0.38,tree_456,3400,0.113204649,0.258390807,0.160665712,0.223438841,蓝20_50_行11_1_000244,125,2.652,10.82389888,4.55,tree_483,3400,4.513344109,4.322875898,6.096982886,3.865977304,1510,5.446103757,0.29993066
0.161,0.25079642,0.41,tree_41,3400,0.120425675,0.334696359,0.127407028,0.239764642,蓝20_50_行8_2_000354,130,2.413,12.12004571,5.97,tree_46,3400,5.040913674,5.836006018,7.496816142,4.600196471,1324,7.022436349,0.301683725
0.099,0.094783661,0.23,tree_843,3400,0.065014865,0.164254619,0.068193693,0.119026258,蓝20_50_行4_2_000015,100,1.893,7.24597532,4.56,tree_890,3400,2.783891286,4.480359488,4.787617569,4.139091814,1038,5.222270309,0.15424796
0.033,0.026360631,0.14,tree_6,3400,0.00956238,0.098369492,0.013666902,0.062235569,蓝20_50_行3_2_000249,100,1.386,4.55668676,2.89,tree_7,3400,1.879827096,2.511971993,2.716883491,2.355740036,877,3.245685406,0.09156068
